airport name,airport code
PROVO MUNICIPAL ARPT,PVU
FOUR CORNERS REGIONAL,FMN
DELAND MUNICIPAL ARPT,KDE
FORBES FIELD AIRPORT,FOE
H L SONNY CALLAHAN ARPT,KCQ
WM FAIRCHILD INTL ARPT,CLM
MID-DELTA REGIONAL,GLH
ANN ARBOR MUNICIPAL,ARB
TSTC WACO,CNW
ST. CLOUD REGIONAL,STC
FAYETTVILLE MUNICIPAL,FAY
BESSEMER ARPT,KEK
BRENNER FIELD ARPT,KFN
ANNISTON METROPOLITAN ARPT,ANB
COZUMEL MEXICO,CZM
BLOCK ISLAND STATE,BID
CLEARVIEW AIRPARK,K2W
MUIR ARMY AIRFIELD,MUI
LAKE IN THE HILLS,3CK
LOUISA COUNTY ARPT/FREEMAN FLD,LOW
MEADOW LAKE ARPT,KFL
JOHN F KENNEDY MEMORIAL,ASX
TYONEK ARPT,TYE
PEARLAND REGIONAL ARPT,KLV
HURON REGIONAL ARPT,HON
NORTH LAS VEGAS,VGT
SOUTHBRIDGE MUNICIPAL ARPT,3B0
LARAMIE REGIONAL,LAR
HAMILTON ISLAND,HTI
JOHNSTON ATOLL ARPT,JON
ROSEAU MUNI ARPT/RUDY BILLBERG FLD,ROX
GAINESVILLE MUNICIPAL ARPT,GNV
LITCHFIELD MUNICIPAL,KLJ
GRIFFING SANDUSKY ARPT,SKY
PUT IN BAY,3W2
WALDRONAIRE ARPT,MWH
SANTA MONICA MUNICIPAL,SMO
GREATER KANKAKEE ARPT,IKK
GREELEY-WELD COUNTY ARPT,GXY
